time,value
1871,1149.6714153011233
1872,1086.1735698828816
1873,1164.7688538100692
1874,1252.3029856408025
1875,1076.5846625276663
1876,1076.586304305082
1877,1257.9212815507392
1878,1176.7434729152908
1879,1053.0525614065048
1880,1154.2560043585966
1881,1053.6582307187537
1882,1053.4270246429744
1883,1124.1962271566035
1884,908.6719755342202
1885,927.5082167486967
1886,1043.7712470759027
1887,998.7168879665576
1888,1131.4247332595273
1889,1009.197592447879
1890,958.7696298664708
1891,1246.5648768921553
1892,1077.4223699513464
1893,1106.7528204687924
1894,957.5251813786543
1895,1045.5617275474817
1896,1111.0922589709867
1897,984.9006422577697
1898,1137.5698018345672
1899,789.9361310081194
1900,820.8306250206723
1901,789.8293387770603
1902,1035.2278184508937
1903,848.6502775262067
1904,744.2289071044099
1905,932.2544912103189
1906,727.9156350028977
1907,870.8863595004756
1908,654.0329876120225
1909,717.1813951101569
1910,869.6861235869123
1911,923.8466579995411
1912,867.1368281189971
1913,838.435171761176
1914,819.8896304410712
1915,702.1478009632573
1916,778.0155791605291
1917,803.9361229040212
1918,955.7122226218916
1919,884.3618289568461
1920,673.6959844637266
1921,882.4083969394795
1922,811.4917719583683
1923,782.3077999694042
1924,911.1676288840868
1925,953.099952249595
1926,943.1280119116199
1927,766.0782476777362
1928,819.0787624148785
1929,883.1263431403564
1930,947.5545127122359
1931,802.082576215471
1932,831.4341023336183
1933,739.3665025993972
1934,730.3793375919329
1935,931.2525822394198
1936,985.6240028570824
1937,842.7989878419667
1938,950.3532897892024
1939,886.1636025047634
1940,785.4880245394876
1941,886.1395605508415
1942,1003.8036566465969
1943,846.4173960890048
1944,1006.4643655814007
1945,588.0254895910256
1946,932.1902504375224
1947,858.7047068238171
1948,820.0992649534132
1949,859.1760776535502
1950,651.2431085399107
1951,828.0328112162488
1952,885.7112571511747
1953,997.7894044741516
1954,798.1729781726352
1955,769.1506397106813
1956,799.8242956415463
1957,941.5402117702074
1958,882.8751109659685
1959,797.0239796232961
1960,901.3267433113356
1961,859.707754934804
1962,946.8644990532889
1963,779.7946906122647
1964,817.2337853402232
1965,810.7891846867842
1966,703.6485051867882
1967,879.6120277064576
1968,876.1055272179889
1969,850.511345664246
1970,826.5412866624853
