State,Murder,Assault,UrbanPop,Rape
Alabama,7.0,235,57,21.1
Alaska,16.6,262,86,42.4
Arizona,13.0,88,45,17.8
Arkansas,10.7,206,70,32.4
California,3.4,246,58,7.3
Colorado,3.4,314,40,20.9
Connecticut,1.8,315,46,19.1
Delaware,15.2,259,46,13.7
Florida,10.8,296,57,28.0
Georgia,12.6,234,73,26.1
Hawaii,1.1,257,44,34.1
Idaho,16.9,252,82,17.7
Illinois,14.6,281,63,16.7
Indiana,4.3,97,70,13.8
Iowa,3.8,324,80,15.8
Kansas,3.8,261,83,28.9
Kentucky,5.9,296,63,22.9
Louisiana,9.5,232,35,9.8
Maine,8.0,85,61,17.1
Maryland,5.6,201,68,16.9
Massachusetts,11.0,59,54,34.2
Michigan,3.1,109,70,34.9
Minnesota,5.6,53,76,13.0
Mississippi,6.9,173,46,45.9
Missouri,8.4,180,74,17.6
Montana,13.8,107,60,45.1
Nebraska,4.1,183,67,23.2
Nevada,9.3,125,44,8.6
New Hampshire,10.6,207,63,20.7
New Jersey,1.6,333,38,31.8
New Mexico,10.9,305,90,33.6
New York,3.6,275,82,27.8
North Carolina,1.9,85,53,24.6
North Dakota,16.6,72,59,28.7
Ohio,16.8,179,33,30.2
Oklahoma,14.2,245,73,10.4
Oregon,5.9,312,76,21.6
Pennsylvania,2.4,77,88,16.7
Rhode Island,12.2,92,84,38.4
South Carolina,8.1,106,37,25.5
South Dakota,2.8,260,59,45.4
Tennessee,9.0,143,59,22.7
Texas,1.4,216,75,38.9
Utah,15.9,258,75,38.2
Vermont,5.1,79,51,13.1
Virginia,11.8,271,61,27.0
Washington,6.0,145,42,34.2
West Virginia,9.4,175,89,40.5
Wisconsin,9.9,301,86,19.9
Wyoming,3.9,49,59,15.8
