lat,long,depth,mag,stations
-18.77,178.24,86,4.9,81
-16.03,168.27,493,4.1,16
-28.87,174.13,240,6.0,72
-35.91,165.87,163,4.0,120
-12.38,184.06,40,5.7,128
-27.51,168.55,679,6.3,55
-24.16,172.03,230,5.1,72
-15.24,166.08,618,4.6,113
-19.76,175.38,555,5.7,21
-18.1,184.54,481,6.0,22
-32.76,174.48,182,5.3,52
-23.5,169.7,230,6.3,26
-19.2,182.6,572,4.1,72
-32.22,183.39,266,5.2,90
-33.71,169.57,352,5.7,129
-11.22,182.98,668,6.1,45
-24.19,186.95,341,4.4,94
-31.32,169.41,499,5.9,17
-10.82,182.99,440,5.3,78
-11.68,181.58,590,5.0,99
-23.03,176.31,432,4.3,89
-13.99,166.97,246,6.1,45
-33.33,167.35,249,4.4,37
-30.82,184.82,154,4.7,127
-19.07,187.91,290,4.7,102
-14.99,180.85,258,6.1,56
-14.72,175.69,446,5.6,85
-27.32,180.21,482,5.9,110
-13.85,179.02,642,4.6,39
-14.87,174.29,393,5.5,32
-12.51,167.14,597,5.4,25
-16.7,184.12,589,6.0,23
-19.95,174.02,181,6.2,83
-22.41,184.06,651,4.0,80
-28.21,171.34,540,5.6,118
-12.39,165.69,586,4.1,61
-11.45,169.24,581,5.3,46
-30.68,176.19,546,4.7,38
-30.08,186.88,635,4.7,76
-25.06,167.97,320,4.8,24
-26.09,184.86,463,5.5,109
-10.87,177.51,309,4.8,56
-33.69,184.22,193,5.8,55
-38.09,172.37,653,5.0,61
-24.83,184.54,122,4.2,28
-33.61,183.03,661,5.9,86
-28.38,170.84,465,4.7,115
-17.85,168.62,314,5.0,30
-18.5,185.17,323,5.6,73
-30.0,187.3,212,4.8,46
-23.47,166.37,366,4.1,36
-24.41,182.09,102,4.9,64
-20.86,186.1,112,6.3,125
-31.61,184.93,675,5.5,38
-22.15,187.33,414,5.6,29
-11.31,182.74,672,5.5,34
-25.02,175.6,547,4.5,79
-13.34,172.68,437,5.0,72
-26.48,172.87,159,5.8,45
-28.83,181.94,476,4.2,11
-20.61,182.42,504,4.7,31
-19.95,170.17,325,4.7,105
-14.51,185.17,304,5.0,25
-32.17,181.73,359,6.4,27
-24.68,178.31,415,4.2,78
-22.65,176.26,128,5.2,63
-17.17,177.87,242,4.4,109
-37.37,169.25,373,6.3,39
-10.87,170.25,261,4.3,54
-25.49,167.72,80,5.0,28
-30.8,169.12,107,5.8,96
-13.97,175.86,553,5.7,43
-17.75,177.58,676,5.0,22
-12.03,166.07,661,4.8,52
-29.37,183.57,637,5.0,71
-23.18,172.28,671,4.6,127
-22.64,186.15,166,4.5,102
-11.27,187.4,294,5.2,109
-36.49,169.84,55,4.6,31
-30.07,176.05,516,4.7,61
-33.27,165.7,101,5.6,61
-31.11,179.11,471,6.3,120
-25.07,179.31,307,5.4,45
-28.2,171.23,74,4.2,82
-27.59,178.21,615,4.2,112
-15.06,170.74,533,6.3,124
-12.67,169.28,601,4.7,28
-36.63,180.3,508,4.2,47
-32.77,172.99,364,5.4,79
-19.89,178.93,343,5.5,125
-28.59,175.4,315,5.6,120
-31.51,187.78,240,4.6,88
-30.36,169.03,484,4.0,66
-29.6,176.1,363,6.3,29
-14.94,180.95,74,4.6,18
-34.78,174.55,521,5.6,41
-18.83,187.56,519,5.7,13
-23.18,181.88,104,5.5,59
-30.33,180.43,47,4.8,91
-26.89,182.67,340,4.7,14
-31.45,187.07,382,5.4,29
-21.55,186.06,470,6.1,96
-36.32,181.94,463,6.3,84
-38.45,182.5,371,4.3,46
-21.09,168.95,477,4.4,31
-33.18,167.98,627,6.3,67
-36.61,178.49,213,5.8,77
-27.53,166.08,598,6.1,102
-37.18,176.5,566,4.5,53
-13.88,170.39,65,5.4,43
-37.82,173.44,644,5.7,86
-22.46,183.09,445,5.6,51
-26.37,186.81,271,5.0,18
-19.86,167.3,572,4.0,115
-29.44,177.67,589,5.4,104
-34.27,185.49,544,4.6,16
-11.23,167.52,218,5.1,77
-15.21,184.19,171,6.3,28
-14.61,173.71,494,5.0,115
-31.62,172.9,387,6.0,103
-37.51,187.62,579,4.5,40
-30.14,170.18,445,5.6,44
-23.62,181.24,115,6.3,66
-29.49,184.12,618,4.2,94
-15.52,166.59,531,4.0,70
-31.02,180.73,233,5.0,40
-11.69,187.04,201,4.2,92
-25.85,168.46,386,5.8,104
-15.12,185.8,400,6.2,62
-33.17,179.03,623,5.0,41
-27.13,179.52,126,4.6,75
-19.09,179.44,301,5.0,68
-34.73,172.38,253,5.7,125
-34.89,186.67,612,4.0,19
-11.57,186.95,301,5.4,11
-18.67,179.71,322,5.5,75
-37.45,183.27,506,5.5,69
-27.47,179.42,419,4.6,97
-26.51,176.55,401,5.7,26
-17.85,180.51,488,4.2,105
-31.6,178.09,480,4.5,25
-33.45,179.09,132,6.1,25
-36.34,183.27,660,5.8,55
-26.65,176.47,463,4.0,48
-19.4,166.59,181,4.6,126
-36.97,169.35,330,4.5,40
-13.08,175.52,471,4.6,116
-26.26,181.95,88,4.6,97
-31.91,179.0,341,4.2,10
-35.97,180.28,229,5.1,20
-33.49,176.43,175,5.8,128
-12.54,179.5,594,5.5,94
-20.8,173.06,443,5.6,13
-24.19,176.23,641,4.2,80
-20.28,182.39,380,6.3,35
-26.45,185.25,357,6.0,120
-18.24,175.41,657,5.9,59
-37.26,166.65,402,6.0,21
-22.81,169.3,421,6.2,104
-34.17,166.14,272,5.3,90
-35.24,180.34,383,4.5,106
-29.06,173.13,588,5.5,84
-36.03,177.85,592,5.8,101
-35.97,176.75,568,5.8,105
-29.91,167.5,610,5.3,74
-11.29,174.73,222,4.2,56
-33.7,170.62,80,4.9,101
-38.11,175.07,590,6.2,62
-17.32,170.24,436,5.4,115
-16.1,184.55,533,5.3,80
-28.94,169.58,372,4.6,11
-25.64,187.25,166,4.9,115
-20.48,175.01,597,6.1,33
-37.25,184.68,596,5.6,13
-12.14,179.79,40,5.9,117
-13.88,182.19,207,5.1,28
-31.32,182.91,659,5.5,35
-38.16,177.01,58,4.6,84
-12.58,177.87,371,5.7,49
-24.63,177.21,623,5.0,59
-23.56,178.88,495,5.1,52
-19.53,166.33,148,5.6,84
-21.43,174.55,307,6.2,118
-12.28,179.28,484,4.2,76
-12.27,179.09,279,6.0,21
-14.42,183.48,340,4.7,76
-20.85,180.38,641,5.1,115
-16.27,187.95,142,4.1,36
-19.72,172.05,289,4.7,122
-22.61,173.74,492,5.2,63
-35.01,174.29,559,4.1,75
-15.98,176.13,192,5.2,58
-15.72,184.45,213,6.2,25
-21.15,170.97,382,4.3,11
-15.72,183.1,470,5.8,69
-20.43,174.77,363,5.0,63
-32.83,179.19,678,5.6,39
-30.95,179.88,459,4.6,93
-32.61,174.04,633,4.4,47
-28.08,177.18,524,4.4,37
-37.5,174.95,451,4.2,34
-21.36,167.22,123,4.4,105
-29.21,175.49,152,5.6,19
-20.32,167.86,371,6.1,69
-27.85,174.77,417,6.0,51
-19.59,178.99,80,5.6,49
-29.1,178.68,144,4.3,106
-31.32,180.55,241,4.7,86
-24.77,167.81,489,4.7,129
-19.28,180.32,305,4.6,114
-28.88,172.68,249,5.2,127
-12.49,174.63,602,5.3,51
-37.5,184.94,157,4.9,56
-26.94,165.87,416,4.8,46
-11.62,178.89,590,6.0,127
-23.32,179.12,579,5.9,89
-26.79,174.58,123,4.7,118
-22.75,170.99,493,6.2,31
-22.54,170.94,668,6.3,66
-18.2,185.52,553,4.8,93
-35.03,175.6,644,4.9,123
-31.62,173.1,426,5.2,116
-22.41,175.75,389,6.3,36
-14.42,180.7,335,6.1,50
-22.93,168.94,297,4.2,89
-31.94,175.76,120,4.9,43
-19.64,178.87,307,5.3,41
-17.97,186.98,458,5.2,99
-31.95,171.34,274,4.5,98
-28.06,173.74,350,6.1,75
-23.7,174.19,396,5.6,21
-24.75,179.27,252,6.0,49
-27.73,173.68,613,6.1,82
-30.29,177.65,88,5.8,85
-35.8,183.23,166,5.1,99
-37.1,181.51,262,5.5,82
-11.88,175.7,318,4.4,19
-14.98,185.08,447,5.6,105
-28.7,178.21,544,4.4,130
-11.92,177.8,333,5.7,107
-19.73,166.44,316,4.6,57
-25.14,187.83,477,4.3,29
-24.85,168.43,146,4.4,48
-36.27,170.86,459,4.0,69
-36.03,166.83,650,5.7,75
-21.8,180.04,468,5.8,74
-23.16,170.72,414,5.2,60
-32.66,169.71,112,4.4,45
-12.22,167.66,673,4.2,33
-16.82,167.99,69,4.0,127
-35.43,178.8,227,4.4,36
-12.65,181.13,403,6.1,11
-11.44,174.6,490,4.6,40
-10.83,176.45,234,4.9,66
-37.03,181.08,195,4.3,87
-18.05,166.06,211,4.5,75
-23.38,172.93,80,5.2,38
-18.92,187.53,102,5.5,24
-11.59,178.7,62,4.6,21
-19.41,171.38,399,4.1,110
-15.26,177.39,114,4.9,37
-14.43,173.37,599,4.6,93
-15.22,177.62,157,4.5,112
-26.71,168.49,651,6.3,33
-32.39,168.65,419,5.5,30
-27.54,168.89,329,5.3,19
-13.73,186.78,479,5.0,119
-34.5,182.13,46,5.0,87
-24.28,169.32,235,5.3,110
-32.09,169.9,460,5.7,27
-22.39,182.08,607,5.7,97
-14.53,169.18,232,4.4,23
-14.05,170.94,598,5.2,43
-31.99,187.31,187,5.0,67
-13.29,171.4,241,6.1,85
-22.09,180.53,483,5.5,31
-28.83,187.65,458,5.3,129
-18.85,174.08,466,4.3,79
-25.17,166.06,518,5.5,45
-28.06,171.15,514,4.3,54
-18.94,184.33,165,4.8,45
-31.66,185.09,434,4.3,31
-29.39,182.93,615,5.7,87
-26.48,168.21,364,4.5,89
-31.52,183.54,431,4.9,70
-27.3,186.3,667,6.1,109
-22.66,179.16,479,4.5,65
-17.94,186.8,243,5.2,98
-17.21,184.24,525,5.0,105
-15.66,180.65,70,4.0,42
-17.85,178.63,427,5.9,54
-19.61,173.5,664,4.2,45
-31.97,169.25,473,5.1,29
-27.44,179.26,415,5.3,27
-25.28,172.81,383,5.5,47
-36.28,185.13,482,5.7,76
-23.86,187.98,618,4.6,32
-26.43,182.57,114,4.0,105
-16.24,167.7,596,5.7,118
-11.34,172.15,194,5.3,25
-23.09,168.12,469,6.0,68
-29.6,180.28,402,6.0,78
