State,Population,Income,Illiteracy,Life Exp,Murder,HS Grad,Frost,Area
Alabama,2524,3442,0.8,71.34,7.0,65.3,93,398832
Alaska,16537,3142,0.5,70.7,16.6,49.7,133,471504
Arizona,14265,5166,2.6,71.04,13.0,51.6,80,233166
Arkansas,11805,4755,0.6,73.18,10.7,58.6,68,334985
California,15043,6239,1.0,72.87,3.4,65.0,68,394493
Colorado,14801,4985,1.5,72.39,3.4,42.0,147,214335
Connecticut,12386,6018,1.3,69.5,1.8,46.8,15,562389
Delaware,7137,5193,2.6,73.1,15.2,41.9,50,452034
Florida,1992,4612,0.6,68.51,10.8,55.9,104,47081
Georgia,12029,5696,1.7,72.77,12.6,46.8,164,505959
Hawaii,8584,5432,2.1,69.81,1.1,47.4,169,296879
Idaho,18734,4099,2.6,68.26,16.9,39.9,184,235386
Illinois,10078,4131,1.9,71.74,14.6,48.1,65,173906
Indiana,8853,5687,2.3,69.26,4.3,63.2,8,430812
Iowa,2546,5138,0.7,69.33,3.8,44.7,106,306011
Kansas,11959,5901,1.4,69.69,3.8,58.3,99,335120
Kentucky,19045,3371,1.4,68.32,5.9,56.4,85,342658
Louisiana,7529,4053,2.5,68.96,9.5,63.3,63,300526
Maine,19346,5745,0.8,67.99,8.0,41.7,21,127506
Maryland,1266,4877,0.8,70.47,5.6,66.6,161,279769
Massachusetts,9655,3478,1.3,68.44,11.0,55.0,182,120924
Michigan,18426,4450,0.6,71.81,3.1,67.2,156,468044
Minnesota,3246,3576,0.9,69.29,5.6,64.7,165,556938
Mississippi,13423,5160,2.7,73.28,6.9,44.3,109,315309
Missouri,5987,3613,1.5,72.87,8.4,39.5,96,519014
Montana,1743,3288,2.0,69.59,13.8,45.3,17,511521
Nebraska,17997,4289,2.2,72.38,4.1,53.4,70,230096
Nevada,6015,5766,1.3,72.49,9.3,42.9,126,93899
New Hampshire,12798,4258,0.8,73.52,10.6,42.7,96,355884
New Jersey,9821,5299,1.0,71.33,1.6,51.4,0,564208
New Mexico,7401,4509,1.2,68.42,10.9,38.8,131,194995
New York,6852,3369,2.0,71.61,3.6,41.4,3,471998
North Carolina,17807,3240,1.4,71.48,1.9,50.1,124,250249
North Dakota,18797,5010,0.5,71.56,16.6,39.7,81,307655
Ohio,4613,4190,1.7,69.69,16.8,49.5,26,455647
Oklahoma,19225,5392,2.6,72.81,14.2,51.8,170,484459
Oregon,4968,3885,2.4,73.37,5.9,51.1,58,557911
Pennsylvania,20302,5224,2.4,69.19,2.4,63.4,31,436175
Rhode Island,12997,4779,2.3,68.46,12.2,53.4,160,205652
South Carolina,585,3720,1.2,69.06,8.1,51.6,27,110828
South Dakota,14591,5670,2.3,72.59,2.8,49.9,105,19606
Tennessee,5183,5917,0.8,71.78,9.0,61.9,104,160181
Texas,7714,4035,2.0,71.55,1.4,64.2,182,453131
Utah,5983,4216,2.0,70.23,15.9,63.0,187,335297
Vermont,10221,3714,0.6,71.22,5.1,57.7,69,478842
Virginia,4941,4129,2.3,69.7,11.8,41.9,61,145975
Washington,18620,3164,2.6,70.65,6.0,46.0,33,185103
West Virginia,15572,3288,1.1,72.43,9.4,39.2,86,566418
Wisconsin,1827,5913,2.4,73.49,9.9,65.3,113,382374
Wyoming,16270,3618,0.7,73.22,3.9,57.3,105,329959
