x,y,elevation
1,1,99.37
2,1,100.73
3,1,98.4
4,1,100.85
5,1,101.2
6,1,99.33
7,1,98.69
8,1,100.5
9,1,99.96
10,1,100.85
11,1,103.59
12,1,100.63
13,1,99.26
14,1,98.81
15,1,98.93
16,1,97.76
17,1,102.6
18,1,96.31
19,1,101.8
20,1,99.13
21,1,99.89
22,1,99.15
23,1,103.88
24,1,101.05
25,1,102.63
26,1,103.67
27,1,101.42
28,1,98.71
29,1,100.67
30,1,99.63
31,1,100.11
32,1,100.92
33,1,100.82
34,1,101.9
35,1,102.16
36,1,100.75
37,1,101.79
38,1,99.85
39,1,103.54
40,1,99.74
41,1,103.22
42,1,97.83
43,1,99.97
44,1,100.02
45,1,101.19
46,1,102.31
47,1,98.04
48,1,98.28
49,1,97.65
50,1,103.05
51,1,100.97
52,1,98.16
53,1,99.41
54,1,102.63
55,1,99.68
56,1,99.53
57,1,98.62
58,1,98.11
59,1,102.5
60,1,103.47
61,1,98.13
1,2,102.98
2,2,99.22
3,2,101.29
4,2,103.07
5,2,99.99
6,2,99.66
7,2,101.96
8,2,98.18
9,2,102.74
10,2,100.78
11,2,99.39
12,2,99.39
13,2,97.89
14,2,99.64
15,2,100.24
16,2,98.71
17,2,100.8
18,2,101.89
19,2,100.57
20,2,102.38
21,2,99.49
22,2,103.16
23,2,101.44
24,2,104.33
25,2,106.1
26,2,100.36
27,2,100.46
28,2,100.85
29,2,102.54
30,2,104.0
31,2,100.04
32,2,102.1
33,2,101.05
34,2,102.54
35,2,104.29
36,2,100.76
37,2,97.86
38,2,102.64
39,2,99.44
40,2,100.77
41,2,102.57
42,2,101.54
43,2,100.68
44,2,99.68
45,2,94.97
46,2,102.11
47,2,100.15
48,2,103.63
49,2,101.34
50,2,99.42
51,2,102.58
52,2,102.71
53,2,99.92
54,2,102.71
55,2,99.17
56,2,100.57
57,2,101.36
58,2,101.76
59,2,101.41
60,2,99.48
61,2,102.31
1,3,99.95
2,3,99.09
3,3,99.16
4,3,104.18
5,3,98.86
6,3,102.97
7,3,98.16
8,3,101.46
9,3,101.14
10,3,103.84
11,3,99.35
12,3,98.86
13,3,100.56
14,3,104.19
15,3,99.16
16,3,95.82
17,3,101.19
18,3,103.04
19,3,99.18
20,3,102.97
21,3,99.26
22,3,101.1
23,3,102.95
24,3,99.12
25,3,101.9
26,3,104.0
27,3,102.54
28,3,100.17
29,3,104.66
30,3,102.95
31,3,97.91
32,3,103.34
33,3,100.45
34,3,101.96
35,3,103.55
36,3,100.39
37,3,98.15
38,3,104.4
39,3,103.66
40,3,101.1
41,3,102.91
42,3,100.4
43,3,101.26
44,3,100.71
45,3,100.27
46,3,101.58
47,3,98.38
48,3,100.22
49,3,101.29
50,3,104.28
51,3,98.21
52,3,101.53
53,3,101.7
54,3,96.63
55,3,101.16
56,3,102.06
57,3,101.44
58,3,100.06
59,3,100.87
60,3,100.51
61,3,96.77
1,4,100.63
2,4,99.54
3,4,98.91
4,4,105.33
5,4,102.92
6,4,98.16
7,4,101.22
8,4,103.5
9,4,97.66
10,4,100.87
11,4,101.04
12,4,98.32
13,4,101.71
14,4,103.27
15,4,104.13
16,4,100.7
17,4,106.29
18,4,97.25
19,4,102.16
20,4,98.7
21,4,101.78
22,4,100.62
23,4,102.75
24,4,101.54
25,4,100.19
26,4,100.36
27,4,105.78
28,4,102.83
29,4,98.55
30,4,103.06
31,4,101.56
32,4,101.95
33,4,103.55
34,4,104.25
35,4,100.12
36,4,101.73
37,4,100.64
38,4,102.86
39,4,101.13
40,4,101.58
41,4,100.91
42,4,101.15
43,4,104.69
44,4,105.98
45,4,101.87
46,4,100.83
47,4,97.76
48,4,99.35
49,4,100.54
50,4,99.29
51,4,99.43
52,4,103.73
53,4,100.58
54,4,100.7
55,4,99.06
56,4,102.72
57,4,99.89
58,4,99.23
59,4,97.08
60,4,100.08
61,4,99.07
1,5,103.65
2,5,104.02
3,5,97.91
4,5,98.19
5,5,99.94
6,5,98.92
7,5,101.06
8,5,100.04
9,5,101.34
10,5,102.89
11,5,98.82
12,5,103.03
13,5,99.68
14,5,105.53
15,5,104.57
16,5,101.21
17,5,99.61
18,5,99.32
19,5,103.48
20,5,101.76
21,5,103.76
22,5,106.4
23,5,100.53
24,5,99.68
25,5,102.58
26,5,104.54
27,5,100.41
28,5,102.38
29,5,105.07
30,5,99.07
31,5,102.8
32,5,101.24
33,5,102.53
34,5,103.67
35,5,102.64
36,5,100.12
37,5,101.07
38,5,104.85
39,5,102.57
40,5,103.5
41,5,102.23
42,5,103.25
43,5,100.74
44,5,99.9
45,5,102.86
46,5,103.49
47,5,99.31
48,5,99.89
49,5,100.62
50,5,104.1
51,5,101.9
52,5,98.05
53,5,100.44
54,5,100.06
55,5,98.14
56,5,100.22
57,5,99.8
58,5,99.61
59,5,99.47
60,5,103.19
61,5,99.48
1,6,100.44
2,6,100.27
3,6,99.44
4,6,100.67
5,6,100.71
6,6,100.82
7,6,99.02
8,6,100.42
9,6,102.44
10,6,100.66
11,6,101.45
12,6,101.57
13,6,102.18
14,6,102.58
15,6,101.24
16,6,99.88
17,6,99.38
18,6,103.97
19,6,103.59
20,6,103.46
21,6,103.89
22,6,102.04
23,6,101.21
24,6,100.58
25,6,100.43
26,6,105.09
27,6,101.73
28,6,104.86
29,6,102.4
30,6,101.43
31,6,100.58
32,6,101.57
33,6,105.55
34,6,100.5
35,6,106.84
36,6,100.86
37,6,103.96
38,6,102.08
39,6,101.63
40,6,99.62
41,6,101.86
42,6,99.62
43,6,98.46
44,6,101.94
45,6,100.31
46,6,104.83
47,6,103.35
48,6,104.63
49,6,99.77
50,6,101.29
51,6,95.68
52,6,100.27
53,6,100.94
54,6,100.97
55,6,100.5
56,6,100.65
57,6,95.02
58,6,100.9
59,6,101.31
60,6,102.97
61,6,100.99
1,7,100.14
2,7,102.67
3,7,95.82
4,7,99.58
5,7,99.16
6,7,100.71
7,7,96.48
8,7,103.62
9,7,100.59
10,7,101.85
11,7,101.78
12,7,103.99
13,7,97.87
14,7,101.96
15,7,104.16
16,7,101.82
17,7,100.25
18,7,101.08
19,7,101.64
20,7,101.12
21,7,102.38
22,7,105.82
23,7,101.71
24,7,102.03
25,7,104.01
26,7,102.81
27,7,100.55
28,7,103.13
29,7,103.08
30,7,105.24
31,7,101.33
32,7,105.22
33,7,103.02
34,7,100.94
35,7,100.47
36,7,106.87
37,7,102.59
38,7,104.67
39,7,99.27
40,7,107.83
41,7,104.21
42,7,101.78
43,7,101.54
44,7,103.48
45,7,103.23
46,7,102.1
47,7,101.62
48,7,102.58
49,7,97.85
50,7,100.47
51,7,97.8
52,7,102.19
53,7,99.52
54,7,97.64
55,7,99.1
56,7,100.9
57,7,100.12
58,7,98.12
59,7,96.99
60,7,100.49
61,7,99.14
1,8,99.96
2,8,100.23
3,8,101.48
4,8,102.41
5,8,101.1
6,8,100.27
7,8,101.08
8,8,100.47
9,8,98.0
10,8,103.61
11,8,103.37
12,8,105.7
13,8,106.44
14,8,99.69
15,8,101.53
16,8,107.39
17,8,102.45
18,8,103.19
19,8,99.81
20,8,103.31
21,8,107.02
22,8,105.87
23,8,102.2
24,8,102.74
25,8,101.37
26,8,102.01
27,8,99.96
28,8,103.66
29,8,106.88
30,8,104.58
31,8,106.59
32,8,105.97
33,8,102.69
34,8,102.19
35,8,102.19
36,8,100.1
37,8,103.48
38,8,97.48
39,8,104.34
40,8,103.15
41,8,103.8
42,8,104.81
43,8,102.93
44,8,105.63
45,8,103.45
46,8,100.52
47,8,101.4
48,8,97.2
49,8,99.76
50,8,100.66
51,8,102.38
52,8,99.65
53,8,98.54
54,8,97.14
55,8,99.62
56,8,104.61
57,8,101.17
58,8,102.42
59,8,98.67
60,8,97.26
61,8,97.91
1,9,100.36
2,9,96.65
3,9,98.72
4,9,99.66
5,9,98.31
6,9,96.82
7,9,101.78
8,9,101.44
9,9,103.06
10,9,99.44
11,9,103.35
12,9,105.07
13,9,102.72
14,9,101.17
15,9,102.87
16,9,101.46
17,9,101.32
18,9,104.52
19,9,103.07
20,9,105.93
21,9,102.81
22,9,103.17
23,9,102.87
24,9,101.89
25,9,105.88
26,9,108.72
27,9,103.66
28,9,103.12
29,9,103.02
30,9,103.17
31,9,107.81
32,9,103.04
33,9,103.25
34,9,101.87
35,9,104.84
36,9,104.0
37,9,101.73
38,9,102.07
39,9,106.76
40,9,103.59
41,9,103.55
42,9,103.37
43,9,105.75
44,9,100.68
45,9,101.79
46,9,102.05
47,9,98.75
48,9,100.18
49,9,103.93
50,9,103.18
51,9,103.38
52,9,100.17
53,9,100.27
54,9,97.5
55,9,102.81
56,9,103.03
57,9,102.9
58,9,103.85
59,9,101.4
60,9,103.59
61,9,100.01
1,10,97.11
2,10,102.46
3,10,97.24
4,10,101.31
5,10,103.02
6,10,101.9
7,10,105.96
8,10,97.64
9,10,101.58
10,10,101.97
11,10,99.45
12,10,100.04
13,10,100.87
14,10,100.58
15,10,102.79
16,10,102.02
17,10,104.09
18,10,104.98
19,10,105.06
20,10,103.28
